date,amount,description,category,subcategory,payment_method,location,tags
2024-01-15,-12.5,Albert Heijn groceries,Food,Groceries,Card,Amsterdam,weekly_shopping
2024-01-15,-3.2,Coffee Company,Food,Coffee,Card,Amsterdam,
2024-01-16,-45.0,Restaurant De Kas,Food,Dining_Out,Card,Amsterdam,date_night
2024-01-16,-2.9,GVB dagkaart,Transport,Public_Transport,Card,Amsterdam,
2024-01-17,-89.99,Netflix subscription,Entertainment,Streaming,Card,,monthly_subscription
2024-01-17,-15.75,Etos personal care,Health,Personal_Care,Card,Amsterdam,
2024-01-18,-67.5,Shell tankstation,Transport,Fuel,Card,A1,
2024-01-18,-8.9,Lunch at work,Food,Lunch,Card,Office,
2024-01-19,2500.0,Salary deposit,Income,Salary,Bank_Transfer,,monthly_income
2024-01-19,-950.0,Rent payment,Housing,Rent,Bank_Transfer,,monthly_fixed
2024-01-20,-125.0,Ziggo internet,Utilities,Internet,Bank_Transfer,,monthly_fixed
2024-01-20,-23.45,Jumbo groceries,Food,Groceries,Card,Amsterdam,weekend_shopping
2024-01-21,-15.0,Cinema ticket,Entertainment,Movies,Card,Amsterdam,weekend_fun
2024-01-22,-4.5,Coffee at cafe,Food,Coffee,Card,Amsterdam,
2024-01-22,-78.9,Bol.com books,Education,Books,Card,,self_development
2024-07-02,3087.51,Annual Bonus,Income,Bonus,Card,Eindhoven,subscription
2025-03-05,-173.58,Dirk,Food,Groceries,Direct_Debit,Eindhoven,
2025-05-10,-148.72,T-Mobile,Utilities,Phone,Direct_Debit,Utrecht,gift
2024-12-13,-84.62,Rent Payment,Housing,Rent,Card,Groningen,
2024-03-24,-244.06,Vattenfall,Utilities,Electricity,Card,Den Haag,monthly_subscription
2025-02-26,-277.23,Ziggo,Utilities,Internet,Bank_Transfer,Eindhoven,
2024-10-21,-213.7,Mortgage Payment,Housing,Mortgage,Direct_Debit,Rotterdam,
2024-12-08,-256.74,AFAS Live,Entertainment,Concerts,Card,Eindhoven,impulse_buy
2025-04-20,-249.57,AFAS Live,Entertainment,Concerts,Cash,Rotterdam,travel
2024-09-04,-214.09,KPN,Utilities,Internet,Cash,Amsterdam,weekly_shopping
2024-10-24,-62.3,Pathe,Entertainment,Movies,Cash,Den Haag,self_development
2024-04-19,-294.73,VondelGym,Health,Gym,Card,Groningen,salary
2024-01-24,-136.39,Restaurant Breda,Food,Dining_Out,Cash,Groningen,weekly_shopping
2024-01-29,-1.17,Rent Payment,Housing,Rent,Direct_Debit,Amsterdam,self_development
2025-01-22,-3.0,Hema Lunch,Food,Lunch,Direct_Debit,Rotterdam,impulse_buy
2024-12-16,-206.14,Ziggo Dome,Entertainment,Concerts,Bank_Transfer,Groningen,date_night
2025-03-25,-51.96,Udemy,Education,Courses,Card,Rotterdam,weekly_shopping
2024-06-29,-261.86,Restaurant Breda,Food,Dining_Out,Cash,Rotterdam,
2024-09-09,-168.57,AFAS Live,Entertainment,Concerts,Direct_Debit,Den Haag,daily_coffee
2024-07-22,-126.22,Uber,Transport,Taxi,Bank_Transfer,Den Haag,date_night
2024-08-08,-239.61,Waternet,Utilities,Water,Bank_Transfer,Rotterdam,self_development
2025-01-06,-98.65,Donkey Republic,Transport,Bike_Rental,Cash,Groningen,
2024-08-10,-16.12,Amazon Books,Education,Books,Direct_Debit,Den Haag,subscription
2024-10-31,4065.05,Tax Refund,Income,Refund,Card,Eindhoven,travel
2024-05-05,-54.4,University Fees,Education,Tuition,Cash,Groningen,date_night
2024-11-10,-255.34,Service Pharmacy,Health,Pharmacy,Direct_Debit,Utrecht,monthly_income
2025-01-24,-168.6,Rent Payment,Housing,Rent,Direct_Debit,Amsterdam,
2025-04-06,-131.16,Coursera,Education,Courses,Direct_Debit,Groningen,monthly_subscription
